"state","sex","q10horseGP","race3m1","race3m2","weight"
"Florida","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.91176470588235
"North Carolina","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.67647058823529
"Michigan","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6
"Virginia","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.32352941176471
"New York","Male","Stein/lean Stein","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,1.91176470588235
"Michigan","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.20588235294118
"Maryland","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.35294117647059
"Pennsylvania","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.05882352941176
"Indiana","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.11764705882353
"Virginia","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.97058823529412
"Ohio","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.5
"Michigan","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","Native American/American Indian/Alaska Native (VOL.)",2.61764705882353
"Kentucky","Female","Not registered","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",4.85294117647059
"North Carolina","Male","Johnson/lean Johnson","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.23529411764706
"Massachusetts","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.82352941176471
"Massachusetts","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"North Carolina","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.11764705882353
"Virginia","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.20588235294118
"Indiana","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.88235294117647
"New York","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.05882352941176
"Connecticut","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,1.32352941176471
"Pennsylvania","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.47058823529412
"Connecticut","Male","Not registered","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,1.82352941176471
"Maryland","Female","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,1.85294117647059
"Michigan","Male","Trump/lean Trump","Don't know (VOL.)",NA,2.20588235294118
"South Carolina","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.82352941176471
"Georgia","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.52941176470588
"Georgia","Male","Clinton/lean Clinton","Refused (e.g., non-race answers like American, Human, purple) (VOL.)",NA,1.35294117647059
"Pennsylvania","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.76470588235294
"Kentucky","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.20588235294118
"Indiana","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.73529411764706
"Maryland","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"Kentucky","Male","DK-refused to lean","Don't know (VOL.)",NA,4.11764705882353
"Florida","Male","Not registered","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,3.91176470588235
"Georgia","Female","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.76470588235294
"North Carolina","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.17647058823529
"North Carolina","Male","DK-refused to lean","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"Virginia","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.85294117647059
"New Jersey","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.38235294117647
"Florida","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.11764705882353
"New York","Female","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,4.14705882352941
"New York","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.73529411764706
"Texas","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.38235294117647
"Texas","Male","Trump/lean Trump","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,1.70588235294118
"Texas","Female","Stein/lean Stein","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.73529411764706
"Illinois","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.08823529411765
"Minnesota","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.67647058823529
"Texas","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.5
"New York","Female","DK-refused to lean","Native American/American Indian/Alaska Native (VOL.)",NA,3.67647058823529
"Texas","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.32352941176471
"New York","Female","Not registered","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,4.44117647058823
"Arkansas","Male","Not registered","Native American/American Indian/Alaska Native (VOL.)",NA,4.02941176470588
"Ohio","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"Oklahoma","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.52941176470588
"Texas","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.73529411764706
"Illinois","Male","Trump/lean Trump","Refused (e.g., non-race answers like American, Human, purple) (VOL.)",NA,1.35294117647059
"Louisiana","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.41176470588235
"Kansas","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.20588235294118
"Texas","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.05882352941176
"Iowa","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.97058823529412
"Texas","Male","Not registered","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,2.14705882352941
"Louisiana","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"Texas","Male","Not registered","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,1.32352941176471
"Arkansas","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.47058823529412
"Illinois","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.82352941176471
"Texas","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.47058823529412
"Texas","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,5.85294117647059
"Illinois","Female","Clinton/lean Clinton","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,6.14705882352941
"Missouri","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.08823529411765
"Louisiana","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.02941176470588
"Illinois","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.38235294117647
"Louisiana","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.26470588235294
"New York","Male","Stein/lean Stein","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,4.44117647058823
"Illinois","Female","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,3.02941176470588
"South Carolina","Female","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.61764705882353
"Minnesota","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.35294117647059
"Oklahoma","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.14705882352941
"Illinois","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.70588235294118
"Nebraska","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.35294117647059
"Texas","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.82352941176471
"Wisconsin","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.17647058823529
"Arkansas","Female","DK-refused to lean","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.29411764705882
"Texas","Female","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.41176470588235
"Tennessee","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.88235294117647
"Florida","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"Nevada","Male","Johnson/lean Johnson","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.91176470588235
"Missouri","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,4.5
"Texas","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.52941176470588
"Florida","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.85294117647059
"Missouri","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.08823529411765
"Louisiana","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5
"California","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.85294117647059
"Illinois","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.23529411764706
"Mississippi","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.29411764705882
"Nebraska","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.41176470588235
"Mississippi","Female","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,1.97058823529412
"Illinois","Female","Johnson/lean Johnson","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,5.05882352941176
"Texas","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.91176470588235
"Illinois","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"Texas","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.58823529411765
"Missouri","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.26470588235294
"New York","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.08823529411765
"Illinois","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.47058823529412
"Oklahoma","Female","Stein/lean Stein","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.02941176470588
"Texas","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.11764705882353
"Illinois","Male","Trump/lean Trump","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,4.02941176470588
"Texas","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.67647058823529
"Alabama","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.14705882352941
"Texas","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.08823529411765
"Iowa","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.58823529411765
"Iowa","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.44117647058824
"Wisconsin","Female","Other-refused to lean","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.76470588235294
"Missouri","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.20588235294118
"Missouri","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.73529411764706
"Texas","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.79411764705882
"Kentucky","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.26470588235294
"Ohio","Female","Johnson/lean Johnson","Don't know (VOL.)",NA,3.14705882352941
"Ohio","Female","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,4.73529411764706
"Wisconsin","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2
"Virginia","Female","Johnson/lean Johnson","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.17647058823529
"Washington","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.02941176470588
"Georgia","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.97058823529412
"Kansas","Male","Stein/lean Stein","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.52941176470588
"Ohio","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","Native American/American Indian/Alaska Native (VOL.)",1
"Kansas","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.73529411764706
"North Carolina","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.41176470588235
"Pennsylvania","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2
"Georgia","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.61764705882353
"Texas","Female","Not registered","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,3.70588235294118
"Georgia","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","Native American/American Indian/Alaska Native (VOL.)",1.73529411764706
"West Virginia","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.97058823529412
"Ohio","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.97058823529412
"New York","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.23529411764706
"Ohio","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.26470588235294
"North Carolina","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.41176470588235
"North Carolina","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.38235294117647
"Oregon","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.17647058823529
"California","Male","Clinton/lean Clinton","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,1.61764705882353
"California","Male","Not registered","Refused (e.g., non-race answers like American, Human, purple) (VOL.)",NA,3.38235294117647
"California","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.20588235294118
"California","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.61764705882353
"California","Male","Johnson/lean Johnson","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.05882352941176
"California","Male","Clinton/lean Clinton","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,1.64705882352941
"Kansas","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.97058823529412
"California","Female","Not registered","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,1.61764705882353
"Arizona","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3
"California","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.08823529411765
"California","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.05882352941176
"California","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.23529411764706
"Nevada","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.67647058823529
"Kentucky","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.5
"North Carolina","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.20588235294118
"Tennessee","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.02941176470588
"Arizona","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.35294117647059
"Virginia","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.73529411764706
"Maryland","Male","Johnson/lean Johnson","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,6.73529411764706
"California","Female","Johnson/lean Johnson","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.08823529411765
"Florida","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.41176470588235
"Arizona","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.26470588235294
"California","Female","Clinton/lean Clinton","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,3.29411764705882
"Ohio","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.08823529411765
"New York","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.55882352941176
"Maine","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",4.20588235294118
"Pennsylvania","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.05882352941176
"Florida","Male","Stein/lean Stein","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.38235294117647
"California","Male","Not registered","Refused (e.g., non-race answers like American, Human, purple) (VOL.)",NA,4.35294117647059
"New York","Male","Johnson/lean Johnson","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,3.61764705882353
"Arizona","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.41176470588235
"Oregon","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.5
"Arizona","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.76470588235294
"California","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.64705882352941
"Arizona","Female","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,6.73529411764706
"Arizona","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.73529411764706
"California","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",2.26470588235294
"New York","Female","Clinton/lean Clinton","Asian or Asian-American (e.g., Asian Indian, Chinese, Filipino, Vietnamese or other Asian origin groups)",NA,2.35294117647059
"Arizona","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.38235294117647
"Washington","Female","Not registered","Refused (e.g., non-race answers like American, Human, purple) (VOL.)",NA,3.73529411764706
"New York","Male","Johnson/lean Johnson","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.94117647058824
"California","Female","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,3.5
"Virginia","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.82352941176471
"California","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.41176470588235
"Texas","Female","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,5.70588235294118
"Idaho","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.76470588235294
"Colorado","Female","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,2.32352941176471
"Utah","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.5
"Texas","Male","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,1
"Utah","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.41176470588235
"Idaho","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.08823529411765
"California","Male","Stein/lean Stein","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.64705882352941
"Idaho","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.17647058823529
"Colorado","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2
"Colorado","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,4.58823529411765
"Colorado","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.08823529411765
"California","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.55882352941176
"Alaska","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.88235294117647
"Texas","Male","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,3.97058823529412
"Colorado","Male","Johnson/lean Johnson","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"New Mexico","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.97058823529412
"Idaho","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.5
"Colorado","Male","Clinton/lean Clinton","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,4.26470588235294
"Utah","Male","Other-refused to lean","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.23529411764706
"California","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.5
"Colorado","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.91176470588235
"Colorado","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.44117647058824
"Washington","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.38235294117647
"California","Male","Not registered","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,1.61764705882353
"Texas","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.41176470588235
"California","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.14705882352941
"Idaho","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.3235294117647
"Arizona","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.5
"Nevada","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.91176470588235
"California","Female","Not registered","Native American/American Indian/Alaska Native (VOL.)",NA,6.58823529411765
"Arizona","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.38235294117647
"Idaho","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,5.05882352941176
"California","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.26470588235294
"California","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.23529411764706
"California","Female","Clinton/lean Clinton","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)",NA,6.73529411764706
